Nombre,FechaInicio,Nivel,duracion,Formato,Instructor,Informatica,Bases_de_datos,Sistemas_Operativos,Programacion,Linux,Machine_Learning,Cloud,Ciberseguridad,Desarrollo_Web,Redes,Inteligencia_Artificial,Big_Data,Desarrollo_Móvil,Descripcion
Desarrollo de aplicaciones Oracle Developer PL SQL,08/04/2025,Avanzado,11 semanas,Presencial,Miguel Torres,No,Sí,No,Sí,No,No,No,No,No,No,No,No,No,"Formación especializada en el desarrollo de aplicaciones con Oracle PL/SQL. El curso profundiza en la creación de procedimientos almacenados, funciones y triggers en bases de datos Oracle. Los participantes diseñarán y optimizarán código PL/SQL para manipular datos de forma eficaz, adquiriendo habilidades valoradas para entornos empresariales que usan tecnología Oracle."
Administración Oracle Autonomous Database y Machine Learning,02/07/2025,Avanzado,12 semanas,Presencial,Juan García,No,Sí,No,No,No,Sí,Sí,No,No,No,No,No,No,"Curso avanzado que combina administración de bases de datos Oracle Autonomous Database con técnicas de machine learning. Se cubre la configuración, gestión y securización de Oracle Autonomous DB en la nube, junto con la integración de algoritmos de ML para análisis de datos. El estudiante será capaz de administrar bases de datos autónomas y aplicar inteligencia artificial para mejorar la toma de decisiones."
Experto en Oracle Analytics Cloud y Business Intelligence,23/04/2025,Avanzado,12 semanas,Presencial,Luis Fernández,No,No,No,No,No,No,Sí,No,No,No,No,Sí,No,"Programa enfocado en Oracle Analytics Cloud para la creación de soluciones de inteligencia de negocios. El curso abarca la integración de fuentes de datos, diseño de cuadros de mando interactivos y generación de informes avanzados. Al finalizar, el alumno podrá implantar sistemas de BI en Oracle Cloud, transformando datos empresariales en información estratégica."
Especialista en Seguridad EC Council,07/05/2025,Medio,5 semanas,Presencial,Pedro Sánchez,No,No,No,No,No,No,No,Sí,No,Sí,No,No,No,"Curso completo de seguridad informática que abarca los fundamentos de protección de la información, seguridad de redes y auditoría. Se ofrece una visión holística de la ciberseguridad a través del programa Certified Security Specialist (ECSS) de EC-Council. Al concluir, el participante será capaz de identificar riesgos y aplicar medidas de seguridad esenciales en entornos corporativos."
Ethical Hacker EC Council,22/04/2025,Avanzado,12 semanas,Presencial,María Rodríguez,No,No,No,No,No,No,No,Sí,No,Sí,No,No,No,"Formación intensiva orientada a técnicas de hacking ético según el programa Certified Ethical Hacker (CEH) de EC-Council. Se estudian métodos de ataque y defensa, pruebas de penetración, explotación de vulnerabilidades y uso de herramientas especializadas. El alumno aprenderá a pensar como un atacante para fortalecer la seguridad de sistemas y estará preparado para certificarse como hacker ético."
Analista de Centros de Operaciones EC Council,25/06/2025,Medio,6 semanas,Presencial,Ana Gómez,No,No,No,No,No,No,No,Sí,No,Sí,No,No,No,"Curso enfocado al rol de analista en un Centro de Operaciones de Seguridad (SOC). Abarca la monitorización de incidentes, respuesta ante ciberataques y el manejo de sistemas SIEM. El estudiante desarrollará habilidades para detectar, analizar y reportar amenazas en tiempo real, siguiendo las directrices del programa CSA (Certified SOC Analyst) de EC-Council."
Administrador Especialista de Seguridad de Azure,07/05/2025,Medio,8 semanas,Presencial,Laura Martínez,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,"Curso especializado en la administración de la seguridad dentro de la plataforma Microsoft Azure. Se cubren controles de acceso, protección de datos, configuración de redes seguras y monitorización de amenazas en entornos cloud. Al terminar, el alumno podrá implementar soluciones de seguridad en Azure y estará preparado para la certificación AZ-500 (Azure Security Engineer)."
Administrador de Bases de Datos Azure,24/09/2025,Medio,6 semanas,Presencial,Elena Sánchez,No,Sí,No,No,No,No,Sí,No,No,No,No,No,No,"Formación centrada en la gestión de servicios de bases de datos en la nube de Azure. Incluye la implementación y mantenimiento de Azure SQL Database, Azure Cosmos DB, así como backup, tuning y alta disponibilidad. El participante adquirirá competencias para administrar datos en Azure de forma eficiente, garantizando rendimiento y seguridad en entornos cloud."
Consultor Especialista de Power Platform con Inteligencia Artificial,28/01/2026,Medio,4 semanas,Presencial,Patricia Díaz,No,No,No,No,No,No,Sí,No,No,No,Sí,No,No,"Curso innovador que combina el uso de Microsoft Power Platform con capacidades de Inteligencia Artificial. Se enseña a crear aplicaciones empresariales low-code integrando Power Apps, Power Automate y Power BI con modelos de IA (como AI Builder). El alumno aprenderá a diseñar soluciones inteligentes que automaticen procesos y analicen datos, mejorando la productividad de las organizaciones."
Virtualización del Data Center y Almacenamiento VMware,21/10/2025,Medio,6 semanas,Presencial,Carlos López,No,No,No,No,No,No,Sí,No,No,No,No,No,No,"Curso integral sobre virtualización de servidores y gestión de almacenamiento con tecnología VMware. Cubre la instalación, configuración y administración de VMware vSphere, incluyendo la gestión de máquinas virtuales y configuraciones de almacenamiento centralizado (SAN/NAS). Al finalizar, el alumno podrá optimizar infraestructuras de centro de datos virtualizados, mejorando la eficiencia y resiliencia de los sistemas."
Virtualización de Red con VMware,20/01/2026,Medio,6 semanas,Presencial,Miguel Torres,No,No,No,No,No,No,Sí,No,No,Sí,No,No,No,"Programa especializado en virtualización de redes utilizando VMware NSX. Se abordan conceptos de redes definidas por software (SDN), creación de switches virtuales, enrutamiento y políticas de seguridad virtuales. El participante desarrollará habilidades para diseñar y administrar redes virtuales complejas, integrando soluciones de virtualización de red en entornos VMware."
Gestión de la Nube con VMware (Operaciones y Automatización),04/03/2026,Medio,4 semanas,Presencial,Juan García,No,No,No,No,No,No,Sí,No,No,No,No,No,No,"Formación enfocada en la administración de entornos cloud privados con la suite VMware. Incluye la orquestación y automatización de recursos con vRealize Operations y Automation, monitorización del rendimiento y gestión del ciclo de vida de máquinas virtuales. El estudiante aprenderá a implementar estrategias de cloud híbrida, automatizando tareas para garantizar servicios consistentes y escalables."
Administrador de Sistemas Red Hat,30/09/2025,Medio,6 semanas,Presencial,Luis Fernández,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,"Curso práctico para administradores de sistemas Linux basado en la distribución Red Hat Enterprise Linux. Se tratan temas de instalación, gestión de usuarios, configuración de servicios de red, seguridad y solución de problemas en entornos RHEL. Al concluir, el alumno estará capacitado para desempeñarse como administrador Linux y podrá afrontar la certificación RHCSA de Red Hat."
Ingeniero de Sistemas Red Hat con Automatización Ansible,29/04/2025,Avanzado,6 semanas,Presencial,Pedro Sánchez,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,"Programa avanzado orientado a ingenieros de sistemas Linux enfocado en la automatización de tareas con Ansible. Se profundiza en la gestión de configuraciones a gran escala, despliegue automático de software y orquestación de servicios en entornos Red Hat. El participante aplicará Ansible para optimizar la administración de múltiples servidores, aumentando la eficiencia y reduciendo errores operativos."
Administración de Red Hat OpenShift Container Platform,06/05/2025,Avanzado,6 semanas,Presencial,María Rodríguez,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,"Curso especializado en la gestión de la plataforma de contenedores OpenShift de Red Hat. Abarca la instalación de clústeres OpenShift, despliegue de aplicaciones en contenedores y gestión de Kubernetes a nivel empresarial. El estudiante aprenderá a orquestar contenedores y a asegurar aplicaciones cloud-native usando las herramientas integradas en OpenShift."
Despliegues en Red Hat OpenShift Container Platform,15/10/2025,Avanzado,8 semanas,Presencial,Ana Gómez,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,"Taller práctico centrado en la implementación de aplicaciones y servicios en Red Hat OpenShift. Se simulan escenarios reales de despliegue continuo (CI/CD), escalado de aplicaciones y actualización sin interrupciones en un entorno de contenedores. Al finalizar, el alumno dominará las mejores prácticas para publicar y mantener aplicaciones en la plataforma OpenShift."
Consultor SAP S4HANA Finanzas,25/03/2025,Avanzado,12 semanas,Presencial,Carlos López,Sí,No,No,No,No,No,No,No,No,No,No,No,No,"Curso orientado a la consultoría funcional en el módulo de Finanzas de SAP S/4HANA. Se cubren los procesos financieros clave (contabilidad general, cuentas por pagar/cobrar, activos fijos) y cómo implementarlos en SAP. El participante adquirirá los conocimientos para parametrizar el sistema en el área financiera y apoyar a empresas en la gestión contable con SAP S4HANA."
Consultor SAP S4HANA Contabilidad Analítica (Controlling),15/07/2025,Avanzado,12 semanas,Presencial,Miguel Torres,Sí,No,No,No,No,No,No,No,No,No,No,No,No,"Formación especializada en el módulo Controlling (CO) de SAP S/4HANA. Incluye configuración de contabilidad de costos, centros de coste/beneficio, órdenes internas y reportes de control de gestión. Al terminar, el estudiante podrá implantar soluciones de contabilidad analítica que permitan a las organizaciones realizar un seguimiento preciso de la rentabilidad y los costos."
Consultor SAP S4HANA Ventas,30/09/2025,Avanzado,12 semanas,Presencial,Juan García,Sí,No,No,No,No,No,No,No,No,No,No,No,No,"Curso enfocado en el módulo de Ventas y Distribución (SD) de SAP S/4HANA. Se abordan los procesos comerciales desde la gestión de pedidos, facturación, expediciones hasta la integración con logística y finanzas. El alumno aprenderá a configurar SAP SD para adaptarlo a las necesidades de ventas de la empresa, optimizando el ciclo de venta completo."
SAP S4HANA Integración de Procesos de Negocio (Financiero),25/03/2025,Avanzado,8 semanas,Presencial,Luis Fernández,Sí,No,No,No,No,No,No,No,No,No,No,No,No,"Formación centrada en la integración de procesos financieros en SAP S/4HANA. El curso destaca cómo interactúan los módulos de Finanzas (FI) con otros módulos (MM, SD) para lograr una visión unificada. Los participantes verán casos prácticos de flujo de documentos entre módulos, comprendiendo la trazabilidad de las operaciones financieras a través del sistema. (Nota: Última edición completada, próxima en planificación)."
SAP S4HANA Integración de Procesos de Negocio (Logística),11/06/2025,Avanzado,8 semanas,Presencial,Pedro Sánchez,Sí,No,No,No,No,No,No,No,No,No,No,No,No,"Curso orientado a la integración de procesos logísticos en SAP S/4HANA. Cubre la interacción entre los módulos de Gestión de Materiales (MM), Ventas (SD) y Producción (PP) para garantizar la continuidad de la cadena de suministro. El alumno entenderá cómo las transacciones logísticas impactan en finanzas y aprenderá a configurar integraciones que reflejen correctamente el movimiento de mercancías y la gestión de inventarios."
Consultor SAP S4HANA Gestión de Materiales y Compras,13/01/2026,Avanzado,10 semanas,Presencial,María Rodríguez,Sí,No,No,No,No,No,No,No,No,No,No,No,No,"Programa especializado en el módulo de Gestión de Materiales (MM) de SAP S/4HANA. Se estudian procesos de aprovisionamiento, gestión de stock, verificación de facturas y compras. El estudiante adquirirá habilidades para configurar y optimizar el flujo de compras y el control de inventarios en SAP, mejorando la eficiencia en la cadena de suministro."
Montaje y reparación de sistemas microinformáticos,01/07/2025,Medio,20 semanas,Presencial,Ana Gómez,Sí,No,No,No,No,No,No,No,No,No,No,No,No,"Certificación profesional centrada en el ensamblaje y mantenimiento de equipos informáticos. El curso abarca la instalación de componentes de hardware, configuración de BIOS/UEFI, instalación de sistemas operativos Windows/Linux y solución de fallos comunes. Tras la formación, el alumno podrá montar PC desde cero, diagnosticar averías y realizar reparaciones de primer nivel en entornos microinformáticos."
Reparación de smartphones y dispositivos móviles,22/05/2025,Medio,5 semanas,Presencial,Laura Martínez,Sí,No,No,No,No,No,No,No,No,No,No,No,No,"Curso práctico dedicado a la reparación de teléfonos inteligentes y otros dispositivos móviles. Se enseñan técnicas de diagnostico de fallos, reemplazo de componentes (pantallas, baterías, conectores) y reinstalación/configuración de sistemas móviles Android/iOS. Al finalizar, el participante estará capacitado para solucionar averías frecuentes en dispositivos móviles y asesorar sobre su mantenimiento."
Confección y publicación de páginas web. Nivel 2,03/06/2025,Medio,22 semanas,Presencial,Elena Sánchez,No,No,No,Sí,No,No,No,No,No,No,No,No,No,"Certificación profesional de nivel 2 para aprender a desarrollar sitios web estáticos. Se cubren los fundamentos de HTML5, CSS3 y nociones básicas de diseño web responsivo. El alumno creará y publicará páginas web en un servidor, adquiriendo las competencias iniciales para iniciarse en el desarrollo web."
Desarrollo de aplicaciones con tecnologías web. Nivel 3,21/05/2025,Avanzado,24 semanas,Presencial,Patricia Díaz,No,Sí,No,Sí,No,No,No,No,No,No,No,No,No,"Certificación profesional de nivel 3 enfocada en la creación de aplicaciones web dinámicas. Incluye programación con JavaScript, integración de frontend y backend (por ejemplo, usando frameworks como Angular/React y Node.js), y gestión de bases de datos para contenido dinámico. Al concluir, el estudiante podrá desarrollar aplicaciones web completas, manejando la lógica de negocio y la interfaz de usuario."
Interfaces y experiencia de usuario (UI y UX),25/11/2025,Avanzado,8 semanas,Presencial,Carlos López,No,No,No,No,No,No,No,No,Sí,No,No,No,No,"Curso especializado en diseño de interfaces de usuario y experiencia de usuario para aplicaciones web y móviles. Se abordan principios de usabilidad, diseño centrado en el usuario, prototipado con herramientas digitales y pruebas de experiencia. El participante aprenderá a crear interfaces atractivas y funcionales, mejorando la interacción usuario-aplicación para distintos dispositivos."
Operación en Sistemas de Comunicaciones de Voz y Datos,16/09/2025,Medio,22 semanas,Presencial,Miguel Torres,No,No,No,No,No,No,No,No,No,Sí,No,No,No,"Certificación profesional orientada a la operación de redes de telecomunicaciones empresariales. Se estudian los fundamentos de redes de voz y datos, incluyendo centralitas, VoIP, routers y switches Cisco. El alumno obtendrá habilidades para instalar, configurar y mantener infraestructuras de comunicaciones tradicionales y convergentes (voz/datos) en organizaciones."
Mantenimiento de Primer Nivel en Sistemas de Radiocomunicaciones,21/05/2025,Medio,26 semanas,Presencial,Juan García,No,No,No,No,No,No,No,No,No,Sí,No,No,No,"Curso dedicado al mantenimiento básico de equipos y sistemas de radiocomunicación. Cubre conceptos de radiofrecuencia, configuración de radios, antenas y resolución de problemas en enlaces inalámbricos. Tras la formación, el participante podrá dar soporte técnico en instalaciones de radio (p. ej. redes TETRA, radioenlaces) asegurando su correcto funcionamiento."
Instalación y Puesta en Servicio e Integración de Nodos de Red 5G,23/04/2025,Medio,9 semanas,Presencial,Luis Fernández,No,No,No,No,No,No,No,No,No,Sí,No,No,No,"Programa especializado en las redes móviles de quinta generación (5G). Se instruye en la instalación física y configuración lógica de nodos 5G (antenas, small cells), así como su integración con la red troncal. El estudiante aprenderá los procedimientos para desplegar infraestructura 5G y realizar pruebas de servicio, sentando las bases para la nueva generación de comunicaciones móviles."
Seguridad Informática. Nivel 3,08/05/2025,Avanzado,22 semanas,Presencial,Pedro Sánchez,No,No,No,No,No,No,No,Sí,No,No,No,No,No,"Certificación profesional de nivel 3 en seguridad informática. El curso abarca la protección de sistemas operativos, redes y aplicaciones frente a amenazas digitales. Se tratan controles de acceso, cifrado, seguridad perimetral y respuesta a incidentes. Al finalizar, el alumno contará con una visión global de la ciberseguridad y podrá implementar medidas para salvaguardar la información en entornos corporativos."
Programación con Lenguajes Orientados a Objetos y Bases de Datos Relacionales. Nivel 3,24/06/2025,Avanzado,24 semanas,Presencial,María Rodríguez,No,Sí,No,Sí,No,No,No,No,No,No,No,No,No,"Certificación profesional de nivel 3 centrada en desarrollo de software orientado a objetos con integración de bases de datos. Incluye fundamentos de programación en lenguajes como Java o C#, diseño de clases y objetos, y operaciones CRUD sobre bases de datos SQL. El participante desarrollará proyectos donde la lógica de negocio se relaciona con bases de datos, adquiriendo experiencia en la construcción de aplicaciones empresariales completas."
Desarrollo y Visualización de Datos con Python,20/05/2025,Medio,6 semanas,Presencial,Carlos López,No,No,No,Sí,No,No,No,No,No,No,No,No,No,"Curso dedicado al desarrollo de aplicaciones en Python con énfasis en la visualización de datos. Se cubren los fundamentos del lenguaje Python, la manipulación de datos con librerías (pandas, NumPy) y la creación de visualizaciones y gráficos con herramientas como Matplotlib o Plotly. Al concluir, el alumno sabrá desarrollar scripts y pequeñas aplicaciones que analicen y presenten datos de forma visualmente efectiva."
Desarrollo de Aplicaciones con Spring e Hibernate,24/04/2025,Medio,5 semanas,Presencial,Miguel Torres,No,Sí,No,Sí,No,No,No,No,Sí,No,No,No,No,"Programa especializado en desarrollo de aplicaciones Java usando los frameworks Spring (Core, MVC) e Hibernate. Se enseña a construir aplicaciones empresariales robustas, implementando la inyección de dependencias, controladores web RESTful y la persistencia de datos en bases relacionales mediante ORM. El estudiante será capaz de crear aplicaciones back-end escalables con Java, integrando servicios web y acceso eficiente a datos."
Desarrollo de Aplicaciones para Dispositivos Móviles,08/09/2025,Medio,14 semanas,Presencial,Juan García,No,No,No,Sí,No,No,No,No,No,No,No,No,Sí,"Curso integral para aprender a desarrollar aplicaciones móviles nativas en plataformas Android y iOS. Se abarcan los principios de diseño de interfaces móviles, manejo de sensores/dispositivos y comunicación con servicios web. El alumno creará aplicaciones funcionales, entendiendo el ciclo de vida móvil y publicará un proyecto en una tienda de apps."
Flutter y Dart,13/01/2026,Avanzado,6 semanas,Presencial,Luis Fernández,No,No,No,Sí,No,No,No,No,No,No,No,No,Sí,"Curso especializado en el framework Flutter de Google para desarrollo multiplataforma. Se estudia el lenguaje Dart y la construcción de interfaces de usuario nativas compiladas, utilizando un único código para Android, iOS y web. Al finalizar, el estudiante podrá desarrollar aplicaciones móviles de alto rendimiento con Flutter, aprovechando su SDK para crear experiencias de usuario consistentes en múltiples plataformas."
JavaScript Avanzado e Ionic,18/09/2025,Avanzado,6 semanas,Presencial,Pedro Sánchez,No,No,No,Sí,No,No,No,No,No,No,No,No,Sí,"Formación enfocada en el desarrollo de aplicaciones híbridas móviles con tecnologías web. Se profundiza en JavaScript avanzado (ES6+), TypeScript y el uso del framework Ionic para construir apps móviles usando HTML5 y CSS. El participante será capaz de implementar aplicaciones que funcionen en Android e iOS desde un único proyecto, accediendo a funcionalidades nativas del dispositivo mediante Apache Cordova."
Desarrollador Spark Big Data Cloudera,03/06/2025,Avanzado,8 semanas,Presencial,María Rodríguez,No,No,No,Sí,No,No,No,No,No,No,No,Sí,No,"Curso intensivo para desarrolladores enfocado en el procesamiento de datos masivos con Apache Spark en entornos Cloudera. Se tratan APIs de Spark (SQL, DataFrames, RDD) utilizando Scala/Python para implementar transformaciones y algoritmos distribuidos. El alumno aprenderá a manejar big data en clústeres Hadoop con Cloudera, optimizando aplicaciones para procesamiento paralelo de gran rendimiento."
Analista de Datos Big Data Cloudera,03/04/2025,Medio,7 semanas,Presencial,Ana Gómez,No,No,No,No,No,No,No,No,No,No,No,Sí,No,"Formación dirigida al análisis de grandes volúmenes de datos en plataformas Big Data de Cloudera. Incluye el uso de herramientas como Hive, Impala y Hue para la consulta y análisis de datos, así como nociones de machine learning con Spark MLlib. Al finalizar, el participante podrá extraer información valiosa de sistemas Big Data y generar informes que apoyen la toma de decisiones estratégicas."
Administrador Big Data Cloudera,01/04/2025,Avanzado,8 semanas,Presencial,Laura Martínez,No,No,No,No,Sí,No,No,No,No,No,No,Sí,No,"Curso especializado en la administración de clústeres Big Data usando la distribución Cloudera. Se cubren la instalación y configuración de Cloudera Manager, gestión de nodos Hadoop (HDFS, YARN) y aseguramiento del rendimiento y la seguridad del ecosistema Big Data. El estudiante estará capacitado para mantener infraestructuras de datos a gran escala, garantizando alta disponibilidad y eficiencia en el procesamiento."
Administración de Sistemas Operativos Linux- LPIC 1 y 2,08/05/2025,Medio,10 semanas,Presencial,Elena Sánchez,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,"Curso preparatorio para las certificaciones LPIC-1 y LPIC-2 de Linux Professional Institute. Se abordan desde los fundamentos de la administración Linux (gestión de archivos, usuarios, procesos) hasta temas avanzados (servidores, redes, seguridad) en distintas distribuciones. El alumno adquirirá un dominio sólido de Linux y estará listo para superar los exámenes oficiales de certificación LPIC."
Arquitecto AWS y Fundamentos IA Generativa,14/07/2025,Avanzado,16 semanas,Presencial,Patricia Díaz,No,No,No,No,No,No,Sí,No,No,No,Sí,No,No,"Formación combinada en arquitectura de soluciones cloud sobre Amazon Web Services y en fundamentos de Inteligencia Artificial Generativa. El curso cubre los servicios principales de AWS (cómputo, almacenamiento, redes) para diseñar infraestructuras escalables, a la vez que introduce conceptos de IA generativa (modelos de lenguaje, AWS Bedrock). Al finalizar, el alumno sabrá planificar entornos AWS robustos e integrar herramientas de IA de vanguardia."
Operador Cloud DevOps y Fundamentos IA Generativa AWS,07/04/2025,Avanzado,13 semanas,Presencial,Carlos López,No,No,No,No,No,No,Sí,No,No,No,Sí,No,No,"Curso centrado en la operación de entornos DevOps en AWS complementado con nociones de IA generativa. Se enseñan prácticas de integración continua y entrega continua (CI/CD) utilizando servicios como AWS CodePipeline y Docker, además de la aplicación de modelos de IA para optimizar procesos. El estudiante podrá automatizar despliegues en la nube AWS y explorar cómo la IA puede mejorar el flujo de DevOps."
AWS Machine Learning e IA Generativa,21/07/2025,Avanzado,13 semanas,Presencial,Miguel Torres,No,No,No,No,No,Sí,Sí,No,No,No,Sí,No,No,"Programa especializado en los servicios de Machine Learning e Inteligencia Artificial Generativa de AWS. Incluye el uso de Amazon SageMaker para construir, entrenar y desplegar modelos de ML, y la exploración de APIs de IA generativa (como Amazon CodeWhisperer o modelos GPT integrados en AWS). Al concluir, el participante estará preparado para desarrollar soluciones de IA sobre la infraestructura de AWS, aprovechando modelos pre-entrenados y personalizados."
Desarrollo de Videojuegos y Realidad Virtual con Unity 3D,15/07/2025,Medio,16 semanas,Presencial,Juan García,No,No,No,Sí,No,No,No,No,No,No,No,No,No,"Curso práctico para aprender a desarrollar videojuegos utilizando el motor Unity 3D, incluyendo aplicaciones de realidad virtual. Se cubre desde la creación de escenarios y personajes 3D, programación de mecánicas de juego en C#, hasta la implementación de entornos VR inmersivos. El alumno adquirirá una base sólida para crear experiencias interactivas en diferentes plataformas, integrando gráficos, física y lógica de juego."
Diseño de Videojuegos y Conceptualización,29/04/2025,Medio,9 semanas,Presencial,Luis Fernández,No,No,No,No,No,No,No,No,No,No,No,No,No,"Formación orientada al diseño creativo de videojuegos, haciendo hincapié en la generación de ideas y la planificación de la experiencia de juego. Se exploran los principios de narrativa, diseño de niveles, creación de personajes y mecánicas de juego. Al finalizar, el estudiante podrá conceptualizar y documentar el diseño completo de un videojuego, estableciendo la base para su posterior desarrollo técnico."
Modelado Poligonal Texturizado y Animación,12/11/2025,Avanzado,14 semanas,Presencial,Pedro Sánchez,No,No,No,No,No,No,No,No,No,No,No,No,No,"Curso especializado en arte 3D para videojuegos. Incluye técnicas de modelado poligonal de personajes y escenarios, aplicación de texturas UV y creación de materiales realistas, así como animación 3D de objetos y personajes. El participante utilizará software profesional (como Blender o 3ds Max) para generar recursos gráficos listos para ser integrados en motores de juego, mejorando la calidad visual de los proyectos interactivos."
Escultura Digital (con ZBrush),01/10/2025,Avanzado,6 semanas,Presencial,María Rodríguez,No,No,No,No,No,No,No,No,No,No,No,No,No,"Formación artística centrada en la escultura digital 3D utilizando ZBrush. Se enseñan técnicas avanzadas de esculpido para crear modelos orgánicos detallados como personajes, criaturas y objetos complejos, con énfasis en anatomía y detalles de alta resolución. El alumno desarrollará un portafolio de esculturas digitales y estará preparado para incorporarlas en producciones de videojuegos, cine o impresión 3D."
Soluciones Salesforce,12/11/2025,Medio,8 semanas,Presencial,Ana Gómez,No,No,No,No,No,No,Sí,No,No,No,No,No,No,"Curso dedicado a la plataforma Salesforce para la gestión de relaciones con clientes (CRM). Se abordan las funcionalidades principales de Salesforce Sales Cloud y Service Cloud, incluyendo la gestión de contactos, oportunidades, casos y automatización de procesos con Flow Builder. Al finalizar, el participante será capaz de configurar y personalizar soluciones en Salesforce para optimizar procesos comerciales y de atención al cliente. (Nota: Próxima convocatoria en planificación)."
